id,data,hora_brasilia,fase,grupo,etapa,mandante,visitante,gols_mandante,gols_visitante,pen_mandante,pen_visitante,cidade,estadio
G_C_2,2026-06-13,22:00,grupos,C,Rodada 1,Haiti 🇭🇹,Escócia 🏴󠁧󠁢󠁳󠁣󠁴󠁿,,,,,Boston,Gillette Stadium
G_C_3,2026-06-19,19:00,grupos,C,Rodada 2,Escócia 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Marrocos 🇲🇦,,,,,Boston,Gillette Stadium
G_C_4,2026-06-19,22:00,grupos,C,Rodada 2,Brasil 🇧🇷,Haiti 🇭🇹,,,,,Filadélfia,Lincoln Financial Field
G_C_5,2026-06-24,19:00,grupos,C,Rodada 3,Escócia 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Brasil 🇧🇷,,,,,Miami,Hard Rock Stadium
G_C_6,2026-06-24,19:00,grupos,C,Rodada 3,Marrocos 🇲🇦,Haiti 🇭🇹,,,,,Atlanta,Mercedes-Benz Stadium
G_D_1,2026-06-12,22:00,grupos,D,Rodada 1,EUA 🇺🇸,Paraguai 🇵🇾,,,,,Los Angeles,SoFi Stadium
G_D_2,2026-06-14,01:00,grupos,D,Rodada 1,Austrália 🇦🇺,Repescagem Europa 3,,,,,Vancouver,BC Place
G_D_3,2026-06-19,00:00,grupos,D,Rodada 2,EUA 🇺🇸,Austrália 🇦🇺,,,,,Seattle,Lumen Field
G_D_4,2026-06-20,01:00,grupos,D,Rodada 2,Repescagem Europa 3,Paraguai 🇵🇾,,,,,São Francisco,Levi's Stadium
G_D_5,2026-06-25,23:00,grupos,D,Rodada 3,Repescagem Europa 3,EUA 🇺🇸,,,,,Los Angeles,SoFi Stadium
G_D_6,2026-06-25,23:00,grupos,D,Rodada 3,Paraguai 🇵🇾,Austrália 🇦🇺,,,,,São Francisco,Levi's Stadium
G_E_1,2026-06-14,14:00,grupos,E,Rodada 1,Alemanha 🇩🇪,Curaçao 🇨🇼,,,,,Houston,NRG Stadium
G_E_2,2026-06-14,20:00,grupos,E,Rodada 1,Costa do Marfim 🇨🇮,Equador 🇪🇨,,,,,Filadélfia,Lincoln Financial Field
G_E_3,2026-06-20,17:00,grupos,E,Rodada 2,Alemanha 🇩🇪,Costa do Marfim 🇨🇮,,,,,Toronto,BMO Field
G_E_4,2026-06-20,21:00,grupos,E,Rodada 2,Equador 🇪🇨,Curaçao 🇨🇼,,,,,Kansas City,Arrowhead Stadium
G_E_5,2026-06-25,17:00,grupos,E,Rodada 3,Equador 🇪🇨,Alemanha 🇩🇪,,,,,Nova York,MetLife Stadium
G_E_6,2026-06-25,17:00,grupos,E,Rodada 3,Curaçao 🇨🇼,Costa do Marfim 🇨🇮,,,,,Filadélfia,Lincoln Financial Field
G_F_1,2026-06-14,17:00,grupos,F,Rodada 1,Países Baixos 🇳🇱,Japão 🇯🇵,,,,,Dallas,AT&T Stadium
